state	zip	pci
AR	72561	43
AR	72562	42
AR	72564	40
AR	72565	33
AR	72566	45
AR	72567	30
AR	72568	43
AR	72569	35
AR	72571	55
AR	72573	35
AR	72576	40
AR	72577	36
AR	72579	41
AR	72581	52
AR	72583	38
AR	72584	35
AR	72601	46
AR	72611	40
AR	72616	40
AR	72619	36
AR	72623	41
AR	72624	37
AR	72626	42
AR	72628	35
AR	72629	38
AR	72631	49
AR	72632	39
AR	72633	39
AR	72634	39
AR	72635	39
AR	72638	37
AR	72639	25
AR	72640	33
AR	72641	36
AR	72642	45
AR	72644	36
AR	72645	33
AR	72648	37
AR	72650	33
AR	72651	35
AR	72653	49
AR	72655	29
AR	72658	43
AR	72660	39
AR	72661	35
AR	72662	44
AR	72663	29
AR	72666	34
AR	72668	38
AR	72675	36
AR	72679	23
AR	72680	34
AR	72682	46
AR	72683	33
AR	72685	37
AR	72687	39
AR	72701	61
AR	72703	74
AR	72704	66
AR	72712	207
AR	72714	77
AR	72715	67
AR	72717	36
AR	72718	101
AR	72719	63
AR	72721	34
AR	72722	39
AR	72727	47
AR	72729	34
AR	72730	56
AR	72732	57
AR	72734	46
AR	72736	56
AR	72738	52
AR	72739	44
AR	72740	42
AR	72742	38
AR	72744	40
AR	72745	55
AR	72751	50
AR	72752	26
AR	72753	52
AR	72756	51
AR	72758	94
AR	72760	35
AR	72761	47
AR	72762	63
AR	72764	42
AR	72768	35
AR	72769	39
AR	72773	42
AR	72774	47
AR	72776	36
AR	72801	38
AR	72802	58
AR	72821	35
AR	72823	42
AR	72824	35
AR	72830	41
AR	72832	33
AR	72833	40
AR	72834	43
AR	72835	40
AR	72837	51
AR	72840	37
AR	72842	37
AR	72843	43
AR	72845	47
AR	72846	43
AR	72847	45
AR	72851	46
AR	72852	35
AR	72853	35
AR	72854	34
AR	72855	42
AR	72856	31
AR	72857	36
AR	72858	47
AR	72860	33
AR	72863	46
AR	72865	46
AR	72901	36
AR	72903	70
AR	72904	27
AR	72908	62
AR	72916	91
AR	72921	50
AR	72923	39
AR	72926	36
AR	72927	40
AR	72928	38
AR	72930	56
AR	72932	40
AR	72933	51
AR	72934	34
AR	72936	58
AR	72937	43
AR	72938	38
AR	72940	43
AR	72941	50
AR	72943	39
AR	72944	41
AR	72946	40
AR	72947	42
AR	72948	42
AR	72949	44
AR	72950	36
AR	72951	45
AR	72952	48
AR	72955	35
AR	72956	45
AR	72958	34
AR	72959	39
CA	90001	26
CA	90002	25
CA	90003	24
CA	90004	63
CA	90005	49
CA	90006	26
CA	90007	27
CA	90008	47
CA	90010	208
CA	90011	24
CA	90012	51
CA	90013	72
CA	90014	72
CA	90015	63
CA	90016	37
CA	90017	66
CA	90018	33
CA	90019	48
CA	90020	62
CA	90021	85
CA	90022	29
CA	90023	28
CA	90024	360
CA	90025	212
CA	90026	48
CA	90027	78
CA	90028	43
CA	90029	33
CA	90031	33
CA	90032	38
CA	90033	27
CA	90034	66
CA	90035	99
CA	90036	107
CA	90037	24
CA	90038	37
CA	90039	72
CA	90040	43
CA	90041	64
CA	90042	45
CA	90043	45
CA	90044	26
CA	90045	102
CA	90046	94
CA	90047	36
CA	90048	118
CA	90049	350
CA	90056	90
CA	90057	26
CA	90058	69
CA	90059	27
CA	90061	28
CA	90062	29
CA	90063	29
CA	90064	196
CA	90065	55
CA	90066	87
CA	90067	824
CA	90068	123
CA	90069	165
CA	90077	551
CA	90094	158
CA	90201	28
CA	90210	636
CA	90211	326
CA	90212	397
CA	90220	33
CA	90221	29
CA	90222	29
CA	90230	83
CA	90232	84
CA	90240	62
CA	90241	49
CA	90242	44
CA	90245	108
CA	90247	40
CA	90248	63
CA	90249	45
CA	90250	43
CA	90254	165
CA	90255	28
CA	90260	41
CA	90262	31
